Type;Year;URL;Contact;Address;Phone;Fax;Contact2
Mortgage services Home loans;2009;http://www.usbank.com;U.S. Bank;Ms. Julie Zule,Ms. Sarah Reedy;3500 W. 6th St.,Lawrence, KS  66049;(785) 312-5060;Fax (785) 865-0033;Ms. Julie Zule,Ms. Sarah Reedy
Mortgage services Home loans;1976;http://www.usbank.com;U.S. Bank;Ms. Joan Golden,Mr. Rob Parrish,Mr. Todd York,Ms. Donna Verdejo,Mr. Mike Orozco,Mr. Kipp Noe,Mr. Brad Burnside,Mr. Jake Dale,Ms. Terri Pippert,Ms. Mary Fannin-Backer,Ms. Lisa Boyle,Mr. Kurt Falkenstien,Mr. Robert Lacy,Mr. Dru Hull,Ms. April L. Johnson,Ms. Janet B. Mercer,Mr. Kevin Freese,Ms. Shelly Patel,Ms. Debi Stark,Ms. Casey Owens,Mr. Scott Braden;900 Massachusetts St.,P.O. Box 428,Lawrence, KS  66044;(785) 865-0302;Fax (785) 331-1641;Ms. Joan Golden,Mr. Rob Parrish,Mr. Todd York,Ms. Donna Verdejo,Mr. Mike Orozco,Mr. Kipp Noe,Mr. Brad Burnside,Mr. Jake Dale,Ms. Terri Pippert,Ms. Mary Fannin-Backer,Ms. Lisa Boyle,Mr. Kurt Falkenstien,Mr. Robert Lacy,Mr. Dru Hull,Ms. April L. Johnson,Ms. Janet B. Mercer,Mr. Kevin Freese,Ms. Shelly Patel,Ms. Debi Stark,Ms. Casey Owens,Mr. Scott Braden
Mortgage services Home loans;1995;http://www.umb.com;UMB Bank;Paul Bischmann,Kristen Westpfahl,Matthew Null,Pete Eggenburg;1441 Wakarusa Dr.,Lawrence, KS  66049;(785) 838-2500;Fax (785) 838-2501;Paul Bischmann,Kristen Westpfahl,Matthew Null,Pete Eggenburg
Beauty salons Supplies & equipment Wholesale;1992;;;Ms. Brenda Peterson-Smith;2100 W. 25th St., Ste. B,Lawrence, KS  66047;(785) 841-6886;Fax (785) 841-6670;Ms. Brenda Peterson-Smith
Assisted living facilities;2013;http://www.alliesvillagehomes.com;Allie's Villlage Memory Care Homes, L.L.C.;Ms. Dianne Ensminger;1701 Research Park Dr.,P.O. Box 871,Lawrence, KS  66044;(785) 766-8394;Ms. Dianne Ensminger
Assisted living facilities;2011;http://www.mybridgehaven.com;Bridge Haven;Sarah Randolph;1126 Hilltop,Lawrence, KS  66044;(785) 371-1106;Fax (785) 856-1077;Sarah Randolph
Assisted living facilities;1999;http://www.pioneer-ridge.com;Pioneer Ridge Retirement Community;Mrs. Debbie Walker,Mr. Steven Cardwell;4851 Harvard Rd.,Lawrence, KS  66049;(785) 749-2000;Fax (785) 344-1199;Mrs. Debbie Walker,Mr. Steven Cardwell
Assisted living facilities;2011;http://www.vintageparkbaldwin.com;Vintage Park at Baldwin City;Ms. Sue Brown;321 Crimson Ave.,Baldwin City, KS  66006;(785) 594-4255;Fax (785) 594-2280;Ms. Sue Brown
Assisted living facilities;2010;http://www.legendseniorliving.com;The Windsor of Lawrence;Ms. Suzy Jach;3220 Peterson Rd.,Lawrence, KS  66049;(785) 832-9900;Fax (785) 832-9167;Ms. Suzy Jach
Animal shelters;1997;http://www.lawrencehumane.org;Lawrence Humane Society, Inc.;Dr. Jennifer Stone;1805 E. 19th St.,P.O. Box 651,Lawrence, KS  66044;(785) 843-6835;Fax (785) 843-6554;Dr. Jennifer Stone
Excavating services;2012;;;Mr. Jerry Willis;P.O. Box 3310,Lawrence, KS  66046;(785) 841-5677;Fax (785) 841-4918;Mr. Jerry Willis
Excavating services;1983;http://www.rdjohnsonexcavating.com;R. D. Johnson Excavating;Mr. Roger Johnson,Mr. Tim Bateman;1705 N. 1399 Rd.,Lawrence, KS  66046;(785) 842-9100;Fax (785) 842-9113;Mr. Roger Johnson,Mr. Tim Bateman
Windows & doors;1987;http://www.pella.com;Pella Window Store;Mr. John Harman;540 Fireside Ct.,Lawrence, KS  66049;(785) 749-4804;Fax (785) 749-4807;Mr. John Harman
Psychologists Psychotherapists;2012;http://www.dr-wes.com;Family Psychological Services;Dr. Wes Crenshaw,Ms. Carrie Poe;2601 W. 6th St.,Lawrence, KS  66049;(785) 371-1414;Fax (785) 371-4519;Dr. Wes Crenshaw,Ms. Carrie Poe
Hospitals;1979;http://www.lmh.org;Lawrence Memorial Hospital;Mr. Gene Meyer,Ms. Sheryle D'Amico,Dana Hale,Ms. Janice Early,Ms. Kathy Clausing-Willis,Jane Maskus,Mrs. Karen Shumate,Mr. Earl Reineman,Mr. Joseph Pedley,Ms. Carolyn Bowmer;325 Maine St.,Lawrence, KS  66044;(785) 505-5000;Fax (785) 505-6126;Mr. Gene Meyer,Ms. Sheryle D'Amico,Dana Hale,Ms. Janice Early,Ms. Kathy Clausing-Willis,Jane Maskus,Mrs. Karen Shumate,Mr. Earl Reineman,Mr. Joseph Pedley,Ms. Carolyn Bowmer
Water conditioning & softening Sales & service;1991;http://www.lindyspring.com;LindySpring Systems;Mr. John G. Levin;115 N.W. Van Buren St.,Topeka, KS  66603;(785) 843-4377;Fax (785) 234-3478;Mr. John G. Levin
Television Cable service providers;1975;http://www.att.com;AT&T;Mr. Mike Scott;220 S.E. 6th St., Rm. 500,Topeka, KS  66603;(785) 749-7106;Fax (785) 276-1713;Mr. Mike Scott
Television Cable service providers;2013;;;Mr. Brad Johnson,Mr. Greg Bennett,Mr. Dave Edwards,Ms. Heidi McNary;2116 Delaware St., Ste. A,Lawrence, KS  66046;(785) 331-3444;Fax (785) 312-7013;Mr. Brad Johnson,Mr. Greg Bennett,Mr. Dave Edwards,Ms. Heidi McNary
Television Cable service providers;2011;http://www.wowway.com;WOW! Internet, Cable and Phone;Ms. Misty Jensen,Ms. Barb Wells,Mr. Lance Mullen,Chris Schmid,Mr. David Hartzler,Ms. Amanda Emery,Mr. Ann Niccum,Ms. Debra Schmidt,Mr. Russ Bush,Mr. Scott Keeler;1 Riverfront Plaza, Ste. 301,Lawrence, KS  66044;(785) 841-2100;Fax (785) 312-6940;Ms. Misty Jensen,Ms. Barb Wells,Mr. Lance Mullen,Chris Schmid,Mr. David Hartzler,Ms. Amanda Emery,Mr. Ann Niccum,Ms. Debra Schmidt,Mr. Russ Bush,Mr. Scott Keeler
Consulting Manufacturing;2014;http://www.mamtc.com;Mid-America Manufacturing Technology Center (MAMTC);Mr. Michael J. Niedenthal;10561 Barkely, Ste. 600,Overland Park, KS  66212;(913) 967-1220;Fax (913) 469-8262;Mr. Michael J. Niedenthal
Conference meeting facility;1965;http://www.union.ku.edu;KU Memorial Unions;Mr. Mike Reid;1301 Jayhawk Blvd.,Lawrence, KS  66045;(785) 864-4651;Fax (785) 864-5030;Mr. Mike Reid
Conference meeting facility;2001;http://www.macelis.com;Maceli's;Mr. Stephen Maceli,Ms. Lara Komosa;1031 New Hampshire St.,Lawrence, KS  66044;(785) 331-2096;Fax (785) 856-0320;Mr. Stephen Maceli,Ms. Lara Komosa
Construction service supplier;2009;http://www.bogardbodyandwelding.com;Bogard Body and Welding;Mr. Freddy M. Bogard;17734 K16 Hwy.,McLouth, KS  66054;(913) 796-6523;Mr. Freddy M. Bogard
Construction service supplier;2009;http://www.bogardbodyandwelding.com;Bogard Body and Welding;Mr. Freddy M. Bogard;17734 K16 Hwy.,McLouth, KS  66054;(913) 796-6523;Mr. Freddy M. Bogard
Social media;1982;;;1700 St. Andrews Dr.,Lawrence, KS  66047
Investments and planning;2004;http://www.ameripriseadvisors.com/charles.d.cary;Ameriprise Financial Services, Inc.-Dan Cary and Associates;Mr. Dan Cary,Ms. Trisha LaRue;1311 Wakarusa Dr., Ste. 2121,Lawrence, KS  66049;(785) 856-7111;Fax (785) 856-7110;Mr. Dan Cary,Ms. Trisha LaRue
Investments and planning;2011;http://www.ameripriseadvisors.com/teresa.m.kempf;Ameriprise Financial Services, Inc.-Kempf;Ms. Teresa Mulinazzi Kempf;900 Massachusetts St., Ste. 403,Lawrence, KS  66044;(785) 841-4561;Fax (785) 841-4581;Ms. Teresa Mulinazzi Kempf
Investments and planning;1995;http://www.edmondsduncan.com;Edmonds Duncan Registered Investment Advisors;Mr. Jason Edmonds;645 Massachusetts Street, Ste. 300,Lawrence, KS  66044;(785) 856-2222;Fax (785) 865-2304;Mr. Jason Edmonds
Investments and planning;2013;https://www.edwardjones.com/en_US/fa/index.html;Edward Jones -  Jeff Peterson;Mr. Jeff Peterson;730 New Hampshire St.,Suite 212,Lawrence, KS  66044;(785) 843-1371;Fax (877) 296-1373;Mr. Jeff Peterson
Investments and planning;2009;http://www.matternfinancialgroup.com;Mattern Financial Group of Wells Fargo Advisors;Mr. David Mattern;1811 Wakarusa Dr., Ste. 103,Lawrence, KS  66047;(785) 842-7680;Fax (785) 842-7455;Mr. David Mattern
Investments and planning;1984;;;Mr. Tom Lohmeyer,Mr. Ed Samp;4910 Corporate Centre Drive, Suite 104,Lawrence, KS  66047;(785) 842-7800;Fax (785) 842-7808;Mr. Tom Lohmeyer,Mr. Ed Samp
Investments and planning;2013;http://www.jerrysamp.com;Stifel;Mr. Jerry Samp,Ms. Jennifer Stammeyer;4910 Corporate Centre Drive, Suite 104,Lawrence, KS  66047;(785) 842-7800;Fax (785) 842-7808;Mr. Jerry Samp,Ms. Jennifer Stammeyer
Investments and planning;1991;http://www.tckansas.com;TCK - The Trust Company of Kansas;Ms. Janis C. Bunker,Mr. Christopher M. English;5200 Bob Billings Pkwy., Ste. 201,Lawrence, KS  66049;(785) 749-0904;Fax (785) 749-2388;Ms. Janis C. Bunker,Mr. Christopher M. English
Financial services & insurance;2011;http://www.ameripriseadvisors.com/teresa.m.kempf;Ameriprise Financial Services, Inc.-Kempf;Ms. Teresa Mulinazzi Kempf;900 Massachusetts St., Ste. 403,Lawrence, KS  66044;(785) 841-4561;Fax (785) 841-4581;Ms. Teresa Mulinazzi Kempf
Financial services & insurance;2013;;;Mr. Ryan Sparke;1217 Biltmore Dr., Ste. 200,Lawrence, KS  66046;(785) 843-2395;Fax (785) 843-5165;Mr. Ryan Sparke
Chiropractors;2001;;;Dr. Rob Jones;3120 Mesa Way, Ste. A,Lawrence, KS  66049;(785) 842-7325;Fax (785) 842-7329;Dr. Rob Jones
Chiropractors;2008;http://www.risleychiropractic.com;Risley Chiropractic;Scott Risley D.C.;4920 Bob Billings Pkwy, Ste. B,Lawrence, KS  66049;(785) 856-6030;Fax (785) 856-6031;Scott Risley D.C.
Chiropractors;2013;http://www.chirorock.com;Rodrock Chiropractic;Ms. Amelia Rodrock;1440 Wakarusa Dr., Ste. 400,Lawrence, KS  66049;(785) 832-8700;Fax (785) 832-8702;Ms. Amelia Rodrock
Chiropractors;2012;http://www.stuartchirohealth.com;Stuart Chiropractic Health Center;Michael C. Stuart, D.C.;1420 Kasold Dr., Ste. C,Lawrence, KS  66049;(785) 830-8166;Fax (785) 830-8144;Michael C. Stuart, D.C.
Photographers Photographic studios;2007;http://www.tcistudio.com;The Crystal Image;Ms. Crystal McWhirt;1201 Wakarusa Dr., Ste. E-203,Lawrence, KS  66049;(785) 393-1958;Ms. Crystal McWhirt
Arts centers;1981;http://www.lied.ku.edu;Lied Center of Kansas;Ms. Sue Mango,Mr. Derek Kwan;1600 Stewart Dr.,Lawrence, KS  66045;(785) 864-3469;Fax (785) 864-5031;Ms. Sue Mango,Mr. Derek Kwan
Arts centers;2014;http://www.paintedkanvas.com;Painted Kanvas;Ms. Chelsea Rose,Mr. Daniel Rose;1540 Wakarusa Dr., Ste. H,Lawrence, KS  66047;(913) 952-6462;Ms. Chelsea Rose,Mr. Daniel Rose
Copy centers Duplicating services;1992;http://www.copycousa.com;Copy Co;Mr. Hossein Gerami;1401 W. 23rd St.,Lawrence, KS  66046;(785) 832-2679;Fax (785) 832-0505;Mr. Hossein Gerami
Copy centers Duplicating services;2006;http://www.theupsstore.com/5707.htm;The UPS Store;Mr. Adam Linhos;2040 W. 31st St., Ste. G,Lawrence, KS  66046;(785) 856-7860;Fax (785) 856-7867;Mr. Adam Linhos
Copy centers Duplicating services;2012;http://www.theupsstore.com/5941;The UPS Store - 5941;Dr. Carol Linhos;4000 W. 6th St., Ste. B,Lawrence, KS  66049;(785) 856-0707;Fax (785) 856-0717;Dr. Carol Linhos
Title companies;2003;http://www.capitaltitlecompany.com;Capital Title Insurance;Ms. Lisa Henry;4821 W. 6th St., Ste. O,Lawrence, KS  66049;(785) 856-2900;Fax (785) 856-9229;Ms. Lisa Henry
Title companies;1998;http://www.commercetitlellc.com;Commerce Title;Mr. Paul Pendry;1420 Wakarusa Dr., Ste. 201,Lawrence, KS  66049;(785) 841-0505;Fax (785) 841-3396;Mr. Paul Pendry
Title companies;2008;http://www.ctitle.com;Continental Title Company;Ms. Brandy Horner,Ms. Brenda Welsh,Ms. Elizabeth Daniel;4104 W. 6th St., Ste. C,Lawrence, KS  66049;(785) 331-4380;Fax (785) 331-4537;Ms. Brandy Horner,Ms. Brenda Welsh,Ms. Elizabeth Daniel
Title companies;1993;http://www.firstam.com;First American Title;Ms. Amy Cleavinger;4100 W. 6th, Ste. A,Lawrence, KS  66049;(785) 749-5990;Fax (785) 749-5369;Ms. Amy Cleavinger
Title companies;1953;http://www.kstdouglas.com;Kansas Secured Title - Douglas County;Mr. Greg Haehl,Ms. Janet Crabill;1410 Kasold Dr., Ste. A-18,Lawrence, KS  66049;(785) 843-2830;Fax (785) 749-3129;Mr. Greg Haehl,Ms. Janet Crabill
Pizza;2012;http://www.minskys.com;Minsky's Pizza;Mr. Kenneth Kantner;934 Massachusetts St.,Lawrence, KS  66044;(785) 856-5252;Mr. Kenneth Kantner
Photographers Commercial;2012;http://www.daltonpaley.com;Hand Built Productions/Dalton Paley Photography;Mr. Dalton Paley;822 Massachusetts St.,Lawrence, KS  66044;(785) 218-4487;Mr. Dalton Paley
Physicians & surgeons;2004;http://www.lfmo.com;Lawrence Family Medicine & Obstetrics;Steven Bruner, M.D.;1220 Biltmore Dr.,Lawrence, KS  66049;(785) 331-1700;Fax (785) 331-1799;Steven Bruner, M.D.
Physicians & surgeons;1976;;;Lee R. Bittenbender, M.D.;930 Iowa St., Ste. 4,Lawrence, KS  66044;(785) 842-7001;Fax (785) 842-5847;Lee R. Bittenbender, M.D.
Physicians & surgeons;1993;;;Dr. Phillip Moreano, M.D.,Dr. Samantha Durland, M.D.,Dr. Tiffinia Mercado,Dr. Michele Bennett,Ms. Linda Easum;330 Arkansas St., Ste. 300,Lawrence, KS  66044;(785) 832-1424;Fax (785) 832-1466;Dr. Phillip Moreano, M.D.,Dr. Samantha Durland, M.D.,Dr. Tiffinia Mercado,Dr. Michele Bennett,Ms. Linda Easum
Physicians & surgeons;1994;;;Dr. Michael Geist;3511 Clinton Pl.,Lawrence, KS  66047;(785) 838-1500;Fax (785) 838-1540;Dr. Michael Geist
Physicians & surgeons;2011;http://www.lawrencepeds.com;Lawrence Pediatrics, P.A.;Dr. Kirsten Evans;543 Lawrence Ave., Ste. D,Lawrence, KS  66049;(785) 856-9090;Fax (785) 856-9093;Dr. Kirsten Evans
Physicians & surgeons;1998;http://www.lawrenceurology.com;Lawrence Urology, P.A.;Jon J. Heeb, M.D.,Brenda Kuhnert;330 Arkansas St., Ste. 205,Lawrence, KS  66044;(785) 749-0639;Fax (785) 749-0991;Jon J. Heeb, M.D.,Brenda Kuhnert
Physicians & surgeons;2012;http://www.orthowertz.com;Ortho Wertz;Kenneth L. Wertzberger, M.D.;4951 W. 18th St.,Lawrence, KS  66047;(785) 856-7870;Fax (785) 371-1487;Kenneth L. Wertzberger, M.D.
Physicians & surgeons;1982;http://www.orthokansasllc.com;OrthoKansas, L.L.C.;Ms. Dena Johnston;1112 W. 6th St., Ste. 124,P.O. Box 1898,Lawrence, KS  66044;(785) 843-9125;Fax (785) 843-6973;Ms. Dena Johnston
Physicians & surgeons;1977;;;G. Charles Loveland, M.D.,Mr. Geoff Coburn,Dr. Terrance Riordan;346 Maine St.,Lawrence, KS  66044;(785) 842-0077;Fax (785) 842-7433;G. Charles Loveland, M.D.,Mr. Geoff Coburn,Dr. Terrance Riordan
Physicians & surgeons;2013;http://www.pandapeds.com;Dr. Terrance Riordan;Pediatric & Adolescent Medicine, P.A.;346 Maine St.,Lawrence, KS  66044;(785) 842-0077;Fax (785) 842-7433;Pediatric & Adolescent Medicine, P.A.
Airports;1983;http://www.hetrickairservices.com;Hetrick Air Services, Inc.;Mr. Lloyd Hetrick;1930 Airport Rd.,Lawrence, KS  66044;(785) 842-0000;Fax (785) 842-0569;Mr. Lloyd Hetrick
Retail;2013;http://www.jayhawkbookstore.com;Jayhawk Bookstore;Ms. Sara Wade,Mr. Steve Levin;1420 Crescent Rd.,Lawrence, KS  66044;(785) 843-3826;Fax (785) 843-9578;Ms. Sara Wade,Mr. Steve Levin
Retail;2012;http://www.samsclub.com;Sams Club;Ms. Nancy Bishop,Ms. Karen Warmund;10510 Parallel Pkwy.,Kansas City, KS  66109;(913) 693-0977;Fax (913) 299-9224;Ms. Nancy Bishop,Ms. Karen Warmund
Retail;2012;http://www.sears.com;Sears Hometown Store;Ms. Kathleen Horstick;2329 Iowa St.,Lawrence, KS  66044;(785) 856-4141;Ms. Kathleen Horstick
Retail;2013;http://www.silawrence.com;Sound Innovations;Mr. Dean Allen,Pat Hinrichsen;1501 W. 6th St.,Lawrence, KS  66044;(785) 856-2604;Fax (785) 856-2607;Mr. Dean Allen,Pat Hinrichsen
Retail;2007;http://www.yarnbarn-ks.com;Yarn Barn of Kansas, Inc.;Mr. Jim Bateman,Mrs. Susan Bateman;930 Massachusetts St.,Lawrence, KS  66044;(785) 842-4333;Fax (785) 842-0794;Mr. Jim Bateman,Mrs. Susan Bateman
Printers Commercial;2012;http://www.printing-solutions.com;Printing Solutions;Mr. Terry Jacobsen;725 N. 2nd St.,Lawrence, KS  66044;(785) 841-8336;Fax (785) 841-8107;Mr. Terry Jacobsen
Painting contractors;2011;http://www.kbpaintingllc.com;KB Painting, L.L.C.;Ms. Kate Boyd;1835 W. 27th Terr.,Lawrence, KS  66046;(785) 423-4464;Ms. Kate Boyd
Investments;1952;http://www.douglascountybank.com;Douglas County Bank - Downtown;Mr. Pat Slabaugh,Ms. Gina Baun,Ms. Mary Grob,Ms. Judy Dinges-Mulford,Ms. Danette Umholtz,Ms. Peggy Leslie,Mr. Sean Buffum,Ms. Lisa Stuhlman,Mr. Ernesto Hodison,Ms. Debbie Bott,Mr. Ted Haggart,Ms. Mary McKenzie,Mr. Mike Davies,Mr. Michael Carlisle,Mr. Tim Metz,Ms. Becca Booth;300 W. 9th St.,P.O. Box 429,Lawrence, KS  66044;(785) 865-1000;Fax (785) 865-1079;Mr. Pat Slabaugh,Ms. Gina Baun,Ms. Mary Grob,Ms. Judy Dinges-Mulford,Ms. Danette Umholtz,Ms. Peggy Leslie,Mr. Sean Buffum,Ms. Lisa Stuhlman,Mr. Ernesto Hodison,Ms. Debbie Bott,Mr. Ted Haggart,Ms. Mary McKenzie,Mr. Mike Davies,Mr. Michael Carlisle,Mr. Tim Metz,Ms. Becca Booth
Investments;1998;http://www.intrustbank.com;INTRUST Bank;Ms. Alissa Masoner,Mrs. Denise Kissinger,Mrs. Claudia Jones,Mr. Doug Gaumer,Mrs. Beth Easter,Ms. Becky Kasenberg,Mr. Brian Iverson,Ms. Crystal Boyer,Ms. Sarah Beach,Mr. Dustin Wilson,Mr. Zak Bolick;901 Vermont St.,Lawrence, KS  66044;(785) 830-2600;Fax (785) 830-2636;Ms. Alissa Masoner,Mrs. Denise Kissinger,Mrs. Claudia Jones,Mr. Doug Gaumer,Mrs. Beth Easter,Ms. Becky Kasenberg,Mr. Brian Iverson,Ms. Crystal Boyer,Ms. Sarah Beach,Mr. Dustin Wilson,Mr. Zak Bolick
Investments;2009;http://www.matternfinancialgroup.com;Mattern Financial Group of Wells Fargo Advisors;Mr. David Mattern;1811 Wakarusa Dr., Ste. 103,Lawrence, KS  66047;(785) 842-7680;Fax (785) 842-7455;Mr. David Mattern
Investments;2013;http://www.silversaver.com;SilverSaver.com (Mass Metal L.L.C.);Mr. Josh McCleary,Mr. Rich Lorenzo;706 Massachusetts St., Ste. 300,Lawrence, KS  66044;(785) 727-2277;Fax (888) 473-5891;Mr. Josh McCleary,Mr. Rich Lorenzo
Investments;2013;http://www.jerrysamp.com;Stifel;Mr. Jerry Samp,Ms. Jennifer Stammeyer;4910 Corporate Centre Drive, Suite 104,Lawrence, KS  66047;(785) 842-7800;Fax (785) 842-7808;Mr. Jerry Samp,Ms. Jennifer Stammeyer
Investments;2012;;;Mr. Jeffrey M. Ingles, CFP;Branch Manager,1811 Wakarusa Dr., Ste. 103,Lawrence, KS  66047;(785) 842-7680;Fax (785) 842-7455;Mr. Jeffrey M. Ingles, CFP
Commercial loans;1998;http://www.centralnational.com;Central National Bank;Ms. Stephanie Rasys,Ms. Amanda Rolfs;711 Wakarusa Dr.,Lawrence, KS  66049;(785) 838-1893;Fax (785) 838-1899;Ms. Stephanie Rasys,Ms. Amanda Rolfs
Commercial loans;1987;http://www.banklandmark.com;Landmark National Bank;Mr. Brad Chindamo,Mr. Ryan Wedel,Ms. Leigh Moore,Jake Wright;4621 W. 6th St.,Lawrence, KS  66049;(785) 838-9400;Fax (785) 838-9073;Mr. Brad Chindamo,Mr. Ryan Wedel,Ms. Leigh Moore,Jake Wright
Commercial loans;2010;http://www.banklandmark.com;Landmark National Bank;Mr. Brian McFall;2710 Iowa St.,Lawrence, KS  66046;(785) 841-6677;Fax (785) 841-5101;Mr. Brian McFall
Commercial loans;2009;http://www.truitycu.org;Truity Credit Union;Jordan Schuette;1300 W. 23rd St.,Lawrence, KS  66046;(785) 749-2224;Fax (785) 749-6824;Jordan Schuette
Commercial loans;2006;https://www.truitycu.org/?utm_source=lawrencechamber;Truity Credit Union;Mr. Tim Mock;2221 W. 31st St.,Lawrence, KS  66047;(785) 749-2224;Fax (785) 749-6856;Mr. Tim Mock
Commercial loans;1984;https://www.truitycu.org/;Truity Credit Union;Mr. Geoff Strole,Ms. Pat Sullivan,Ms. Ginger Wehner,Mr. Gabe Gutierrez;3400 W. 6th St.,Lawrence, KS  66049;(785) 749-2224;Fax (785) 832-8976;Mr. Geoff Strole,Ms. Pat Sullivan,Ms. Ginger Wehner,Mr. Gabe Gutierrez
Air conditioning & heating;2011;http://www.ah-air.com;A & H Air Conditioning, Heating & Plumbing;Ms. Joyce Katzer;1717 College St.,Baldwin City, KS  66006;(785) 749-0600;Fax (785) 594-3352;Ms. Joyce Katzer
Air conditioning & heating;1984;http://www.chaney-inc.com;Chaney Incorporated;Mr. Roy G. Chaney;930 E. 27th St.,Lawrence, KS  66046;(785) 843-1691;Fax (785) 843-4247;Mr. Roy G. Chaney
Air conditioning & heating;2011;http://www.cloudhvac.com;Cloud Heating & Air Conditioning, Inc.;Ms. Sharla Cloud,Ms. Vicki Cloud,Mr. Lynn Barrington;920 E. 28th St.,P.O. Box 3569,Lawrence, KS  66046;(785) 842-2258;Ms. Sharla Cloud,Ms. Vicki Cloud,Mr. Lynn Barrington
Air conditioning & heating;1988;http://www.niehoffdunco.com;Niehoff/Dunco Heating & Cooling;Mr. Wayne Duncan;1729 Bullene Ave., Unit D,Lawrence, KS  66044;(785) 843-7137;Fax (785) 843-1599;Mr. Wayne Duncan
Air conditioning & heating;2010;http://www.2.ljworld.com/marketplace/lawrence/businesses/river-city-heating-cooling;River City Heating & Cooling;Mr. Charlie Homer;1120 E. 23rd St.,Lawrence, KS  66046;(785) 841-2665;Mr. Charlie Homer
Contractors Commercial construction;1975;http://www.bagreen.com;B.A. Green Construction Co., Inc.;Mr. Tracy Green;1207 Iowa St.,P.O. Box 8,Lawrence, KS  66044;(785) 843-5277;Fax (785) 843-0797;Mr. Tracy Green
Contractors Commercial construction;2011;http://www.benchmarkconstructionks.com;Benchmark Construction, L.L.C.;Mr. Tim Bruce;110 W. 20th St.,Eudora, KS  66025;(785) 542-1400;Fax (785) 542-1401;Mr. Tim Bruce
Contractors Commercial construction;2011;http://www.johnsongroupllc.com;The Johnson Group, L.L.C.;Mr. Lance Johnson;850 E. 13th St., Ste. B,Lawrence, KS  66044;(785) 550-7126;Mr. Lance Johnson
Contractors Commercial construction;1990;http://www.kbsci.com;KBS Constructors, Inc.;Craig Penzler,Mr. John Olson;1701 S.W. 41st. St.,Topeka, KS  66609;(785) 266-4222;Fax (785) 266-3313;Craig Penzler,Mr. John Olson
Contractors Commercial construction;2013;http://www.loydbuildersks.com;Loyd Builders, Inc.;Mr. Josh Walker,Mr. Seth Martin;2126 S. Elm St.,Ottawa, KS  66067;(785) 242-1213;Fax (785) 242-1246;Mr. Josh Walker,Mr. Seth Martin
Contractors Commercial construction;2010;http://www.naturalbreeze.com;Natural Breeze Remodeling;Mr. Neil Gaskin,Mr. Terry Finton;1440 Wakarusa Dr., Ste. 800,Lawrence, KS  66049;(785) 749-1855;Fax (785) 749-0271;Mr. Neil Gaskin,Mr. Terry Finton
Paint Retail;2012;http://www.sherwin-williams.com;The Sherwin-Williams Co.;Ms. Robin Bell,Ms. Micah Rose;2108 W. 27th St., Ste. B,Lawrence, KS  66047;(785) 843-8820;Fax (785) 842-1953;Ms. Robin Bell,Ms. Micah Rose
Furniture Retail;2010;http://www.furnituretopekakansas.com;Discovery Furniture;Mr. James Winter;2525 Iowa St.,Lawrence, KS  66046;(785) 856-8444;Mr. James Winter
Furniture Retail;2010;http://www.mstreetinteriors.com;M Street Interiors;Ms. Donna Steinman,Ms. Natashia Brown,Mr. Michael Skaggs;825 Massachusetts St., Ste. A,Lawrence, KS  66044;(785) 856-2426;Fax (785) 856-2429;Ms. Donna Steinman,Ms. Natashia Brown,Mr. Michael Skaggs
Environmental services & consulting;2013;http://www.adoptahighway.net;Adopt-a-Highway Litter Removal Service of America;Ms. Sarah Parkes,Ms. Melinda Centner;4407 Manchester Ave. #201,Encinitas, CA  92024;(800) 540-8694;Fax (800) 571-8537;Ms. Sarah Parkes,Ms. Melinda Centner
Environmental services & consulting;2009;http://www.CromwellEnv.com, www.PowerTomorrow.com;Cromwell Environmental;Aron Cromwell;1008 New Hampshire St., Ste. 300,Lawrence, KS  66044;(785) 749-6020;Fax (785) 749-1330;Aron Cromwell
Environmental services & consulting;1990;http://www.emr-inc.com;EMR, Inc.;Ms. Pam Maley;2110 Delaware St., Ste. B,Lawrence, KS  66046;(785) 842-9013 ;Fax (785) 842-3863;Ms. Pam Maley
Environmental services & consulting;2010;http://www.guidewire-consulting.com;Guidewire Consulting, LLC;Mike Dever;211 E. 8th St., Ste. F,Lawrence, KS  66044;(785) 856-8220;Fax (866) 798-5254;Mike Dever
Transportation Charter service;1993;;;Mr. Wayne Zachary;1548 E. 23rd St., Ste. B,Lawrence, KS  66046;(785) 841-3594;Fax (785) 841-4388;Mr. Wayne Zachary
Transportation Charter service;1983;http://www.hetrickairservices.com;Hetrick Air Services, Inc.;Mr. Lloyd Hetrick;1930 Airport Rd.,Lawrence, KS  66044;(785) 842-0000;Fax (785) 842-0569;Mr. Lloyd Hetrick
Audio/video equipment & custom installation;2009;http://www.jeffsaudiovideo.com;Jeff's Audio Video, LLC;Mr. Jeff Huffman;805 Locust St.,Lawrence, KS  66044;(785) 218-0331;Fax (785) 842-7688;Mr. Jeff Huffman
Audio/video equipment & custom installation;2013;http://www.silawrence.com;Sound Innovations;Mr. Dean Allen,Pat Hinrichsen;1501 W. 6th St.,Lawrence, KS  66044;(785) 856-2604;Fax (785) 856-2607;Mr. Dean Allen,Pat Hinrichsen
Audio/video equipment & custom installation;2013;http://www.streamlineconnections.com;Streamline Connections;Mr. Dave Edwards,Mr. Matthew Delvechio;2116 Delaware St.,Lawrence, KS  66046;(785) 331-3444;Mr. Dave Edwards,Mr. Matthew Delvechio
